No,Kategori Penilaian,Detail Kategori,Bobot,Detail bobot,,,,
1,Pencapaian Target Individual,,20,,,,, 
,,Target penyaluran kredit,,10,85,,,
,,Target simpanan,,5,70,,,
,,Akuisisi nasabah baru,,5,55,,,
Total Detail Bobot,,,,20,210,,,
2,Kualitas Layanan,,15,,,,,
,,Standard grooming,,5,95,,,
,,Keramahan terhadap nasabah,,5,45,,,
,,Kecepatan & ketepatan transaksi,,5,69,,,
Total Detail Bobot,,,,15,209,,,
3,Tingkat Kedisiplinan,,10,,,,,
,,Absensi,,5,15,,,
,,Ketepatan waktu masuk & istirahat,,2,20,,,
,,Kepatuhan menggunakan seragam dan atribut lengkap sesuai jadwal,,3,36,,,
Total Detail Bobot,,,,10,71,,,
4,Integritas & Etika Kerja,,15,,,,,
,,Kejujuran dalam pelaporan data dan penanganan transaksi nasabah,,5,88,,,
,,Kepatuhan terhadap kerahasiaan data bank dan nasabah,,5,46,,,
,,Tidak pernah melakukan pelanggaran prosedur administrasi,,5,97,,,
Total Detail Bobot,,,,15,231,,,
5,Kerja Sama Tim,,10,,,,,
,,Partisipasi aktif dalam kegiatan internal kantor,,5,25,,,
,,Inisiatif membantu rekan kerja,,5,24,,,
Total Detail Bobot,,,,10,49,,,
6,Pengetahan Produk,,10,,,,,
,,"Penguasaan produk simpanan, pinjaman, dan layanan digital",,4,76,,,
,,Kemampuan menjelaskan skema bunga dan biaya dengan akurat,,3,67,,,
,,Update terhadap prosedur operasional yang baru dari kantor pusat,,3,54,,,
Total Detail Bobot,,,,10,197,,,
7,Inovasi & Kreativitas,,10,,,,,
,,Mengusulkan ide untuk efisiensi alur kerja,,4,45,,,
,,Inisiatif dalam memecahkan masalah nasabah secara mendesak ,,3,77,,,
,,Penggunaan cara- cara baru yang positif dalam memasarkan produk,,3,70,,,
Total Detail Bobot,,,,10,192,,,
8,Kerapihan & Administrasi,,10,,,,,
,,Kelengkapan dan ketertiban pengarsipan dokumen nasabah,,3,56,,,
,,Kerapihan pengisian formulir transaksi atau aplikasi kredit,,3,53,,,
,,Keakuratan dalam melakukan input data kedalam sistem bank,,4,58,,,
Total Detail Bobot,,,,10,167,,,
Total Bobot,,,100,,,,,
